[0.000000] (-) TimerEvent: {}
[0.001210] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001561] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001956] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.002133] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002244] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002326] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002433] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002669] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002882] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.003130] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.003248] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.003321] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.003390] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.003458] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.003525] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.003592] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.003660] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.003728] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.003796] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.003871] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.003940] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.004009] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.004076] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.004145] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.004212] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.004280] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004349] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.004417] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.004510] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.004584] (-) JobUnselected: {'identifier': 'navigation2'}
[0.004653] (-) JobUnselected: {'identifier': 'rpi_robot_action_interfaces'}
[0.004721] (-) JobUnselected: {'identifier': 'rpi_robot_bringup'}
[0.004789] (-) JobUnselected: {'identifier': 'rpi_robot_control'}
[0.004861] (-) JobUnselected: {'identifier': 'rpi_robot_slam'}
[0.004929] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.004997] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.005065] (-) EventReactorShutdown: {}
